GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,7,0,0,0,2,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,60,0,6,0,15,0,6,0,3,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,15,41,0,0,3,11,1,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,36,0,0,0,8,0,4,0,4,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,46,27,2,0,14,5,4,2,3,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,34,15,0,0,6,4,2,2,2,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,119,0,0,0,25,0,6,0,6,0
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,0,109,1,7,0,30,1,8,0,5
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,54,0,0,0,24,0,14,0,14,0
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,14,60,0,0,6,26,4,14,4,14
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,42,28,0,0,18,12,12,4,12,4
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,4,82,0,0,2,34,1,17,1,17
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,0,45,0,0,0,20,0,11,0,11
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,0,53,0,0,0,23,0,12,0,12
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,3,37,0,2,1,7,1,2,1,1
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,21,11,0,0,9,3,6,3,6,3
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,0,54,0,2,0,13,0,3,0,2
