GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,0,60,0,6,0,15,0,6,0,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,0,56,0,0,0,14,0,5,0,5
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,0,36,0,0,0,8,0,4,0,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,57,16,2,0,15,4,4,2,3,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,0,49,0,0,0,10,0,4,0,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,70,49,0,0,14,11,3,3,3,3
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,84,25,6,2,20,10,5,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,54,0,0,0,24,0,14,0,14,0
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,25,18,0,0,11,8,7,3,7,3
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,0,74,0,0,0,32,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,0,70,0,0,0,30,0,16,0,16
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,22,21,0,0,11,8,6,4,6,4
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,0,86,0,0,0,36,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,28,17,0,0,12,8,8,3,8,3
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,38,15,0,0,17,6,11,1,11,1
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,3,37,0,2,1,7,1,2,1,1
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,0,32,0,0,0,12,0,9,0,9
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,46,8,2,0,11,2,2,1,1,1
