GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,0,60,0,6,0,15,0,6,0,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,0,56,0,0,0,14,0,5,0,5
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,4,32,0,0,1,7,1,3,1,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,65,8,2,0,17,2,5,1,4,1
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,0,49,0,0,0,10,0,4,0,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,11,108,0,0,3,22,2,4,2,4
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,46,63,7,1,11,19,5,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,45,9,0,0,20,4,13,1,13,1
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,15,28,0,0,7,12,4,6,4,6
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,16,58,0,0,8,24,4,14,4,14
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,12,58,0,0,6,24,3,13,3,13
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,31,12,0,0,14,5,9,1,9,1
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,20,66,0,0,10,26,5,13,5,13
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,28,17,0,0,12,8,8,3,8,3
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,4,49,0,0,2,21,1,11,1,11
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,3,37,0,2,1,7,1,2,1,1
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,11,21,0,0,5,7,3,6,3,6
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,34,20,1,1,8,5,1,2,0,2
