GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,0,60,0,6,0,15,0,6,0,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,0,56,0,0,0,14,0,5,0,5
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,15,21,0,0,3,5,1,3,1,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,55,18,2,0,14,5,4,2,3,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,0,49,0,0,0,10,0,4,0,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,72,47,0,0,15,10,4,2,4,2
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,70,39,7,1,18,12,5,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,13,41,0,0,6,18,2,12,2,12
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,4,70,0,0,2,30,1,17,1,17
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,4,66,0,0,2,28,1,15,1,15
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,27,59,0,0,10,26,1,17,1,17
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,8,37,0,0,4,16,2,9,2,9
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,23,30,0,0,10,13,3,9,3,9
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,3,37,0,2,1,7,1,2,1,1
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,0,32,0,0,0,12,0,9,0,9
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,0,54,0,2,0,13,0,3,0,2
