GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,38,22,4,2,9,6,4,2,1,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,25,0,0,0,6,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,28,28,0,0,8,6,1,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,19,17,0,0,4,4,2,2,2,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,73,0,2,0,19,0,6,0,5,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,49,0,0,0,10,0,4,0,4,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,104,15,0,0,21,4,4,2,4,2
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,106,3,8,0,29,1,8,1,4,1
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,9,45,0,0,4,20,1,13,1,13
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,21,22,0,0,9,10,6,4,6,4
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,0,74,0,0,0,32,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,70,0,0,0,30,0,16,0,16,0
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,31,12,0,0,14,5,9,1,9,1
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,86,0,0,0,36,0,18,0,18,0
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,42,3,0,0,18,2,10,1,10,1
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,36,17,0,0,15,8,7,5,7,5
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,40,0,2,0,8,0,3,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,21,11,0,0,9,3,6,3,6,3
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,0,54,0,2,0,13,0,3,0,2
