GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,34,26,2,4,7,8,2,4,1,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,12,44,0,0,3,11,1,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,15,21,0,0,3,5,1,3,1,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,7,66,0,2,2,17,0,6,0,5
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,4,45,0,0,1,9,1,3,1,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,90,29,0,0,18,7,2,4,2,4
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,38,71,6,2,8,22,4,5,0,5
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,4,50,0,0,2,22,1,13,1,13
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,4,39,0,0,2,17,1,9,1,9
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,0,74,0,0,0,32,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,0,70,0,0,0,30,0,16,0,16
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,12,74,0,0,6,30,3,15,3,15
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,0,45,0,0,0,20,0,11,0,11
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,28,25,0,0,12,11,8,4,8,4
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,3,37,0,2,1,7,1,2,1,1
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,0,32,0,0,0,12,0,9,0,9
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,0,54,0,2,0,13,0,3,0,2
