GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,0,60,0,6,0,15,0,6,0,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,12,44,0,0,3,11,1,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,14,22,0,0,4,4,0,4,0,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,7,66,0,2,2,17,0,6,0,5
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,0,49,0,0,0,10,0,4,0,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,68,51,0,0,14,11,2,4,2,4
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,38,71,6,2,8,22,4,5,0,5
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,4,50,0,0,2,22,1,13,1,13
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,8,35,0,0,4,15,2,8,2,8
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,3,71,0,0,1,31,1,17,1,17
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,0,70,0,0,0,30,0,16,0,16
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,4,39,0,0,2,17,1,9,1,9
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,0,86,0,0,0,36,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,0,45,0,0,0,20,0,11,0,11
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,0,53,0,0,0,23,0,12,0,12
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,3,37,0,2,1,7,1,2,1,1
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,0,32,0,0,0,12,0,9,0,9
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,0,54,0,2,0,13,0,3,0,2
