GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,34,26,2,4,7,8,2,4,1,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,7,49,0,0,2,12,0,5,0,5
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,29,7,0,0,6,2,2,2,2,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,0,73,0,2,0,19,0,6,0,5
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,0,49,0,0,0,10,0,4,0,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,104,15,0,0,21,4,4,2,4,2
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,94,15,8,0,28,2,7,2,3,2
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,0,54,0,0,0,24,0,14,0,14
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,4,39,0,0,2,17,1,9,1,9
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,0,74,0,0,0,32,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,0,70,0,0,0,30,0,16,0,16
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,4,82,0,0,2,34,1,17,1,17
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,0,45,0,0,0,20,0,11,0,11
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,4,49,0,0,2,21,1,11,1,11
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,40,0,2,0,8,0,3,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,0,32,0,0,0,12,0,9,0,9
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,46,8,2,0,11,2,2,1,1,1
