GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,34,26,2,4,7,8,2,4,1,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,5,51,0,0,1,13,1,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,22,14,0,0,5,3,1,3,1,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,28,45,2,0,9,10,2,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,0,49,0,0,0,10,0,4,0,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,99,20,0,0,20,5,3,3,3,3
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,46,63,7,1,11,19,5,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,0,54,0,0,0,24,0,14,0,14
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,0,74,0,0,0,32,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,0,70,0,0,0,30,0,16,0,16
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,20,66,0,0,10,26,5,13,5,13
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,0,45,0,0,0,20,0,11,0,11
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,0,53,0,0,0,23,0,12,0,12
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,3,37,0,2,1,7,1,2,1,1
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,0,32,0,0,0,12,0,9,0,9
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,0,54,0,2,0,13,0,3,0,2
