GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,7,0,0,0,2,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,60,0,6,0,15,0,6,0,3,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,25,0,0,0,6,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,15,41,0,0,3,11,1,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,25,11,0,0,6,2,2,2,2,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,29,44,0,2,6,13,2,4,2,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,30,19,0,0,5,5,1,3,1,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,0,119,0,0,0,25,0,6,0,6
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,106,3,8,0,29,1,8,1,4,1
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,0,54,0,0,0,24,0,14,0,14
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,0,43,0,0,0,19,0,10,0,10
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,0,74,0,0,0,32,0,18,0,18
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,0,70,0,0,0,30,0,16,0,16
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,12,31,0,0,5,14,1,9,1,9
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,27,59,0,0,10,26,1,17,1,17
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,0,45,0,0,0,20,0,11,0,11
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,0,53,0,0,0,23,0,12,0,12
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,40,0,2,0,8,0,3,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,21,11,0,0,9,3,6,3,6,3
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,0,54,0,2,0,13,0,3,0,2
